online_order,book_table,rate,votes,rest_type,cuisines,cost,menu_item,type,city
1,0,3.4,8,79,2389,250,120,2,1
1,0,3.5,10,78,1951,400,8778,2,1
1,0,3.700448818,0,78,2091,400,8778,2,1
1,0,3.5,10,78,1761,400,6864,2,1
1,0,3.2,4,78,1721,200,8778,2,1
1,0,3.1,4,39,1761,350,4831,2,1
1,0,3.700448818,0,78,1722,300,8778,2,1
1,0,3.6,16,92,1416,500,8778,2,1
1,0,3.700448818,0,92,254,300,2863,2,1
1,0,3.4,12,78,1326,300,8778,2,1
1,0,3.700448818,0,0,254,150,6922,2,1
1,0,3.9,14,27,2136,600,7163,2,1
1,0,3.7,0,78,1941,300,1152,2,1
1,0,2.8,5,92,2415,199,8778,2,1
1,0,3.3,5,28,2477,800,8778,2,1
1,0,3.5,15,78,2158,250,8778,2,1
1,0,3.4,4,27,2012,500,8778,2,1
1,0,3.700448818,0,46,2333,250,8778,2,1
1,0,3.6,17,78,839,300,8778,2,1
1,0,3.3,6,78,2469,500,3229,2,1
1,0,3.4,10,78,2381,100,8778,2,1
1,1,4.1,775,27,2091,800,8778,2,1
1,1,4.2,2022,27,2136,1000,8778,2,1
1,0,3.700448818,0,78,1761,100,8778,2,1
1,1,4.2,150,19,719,600,2426,2,1
1,0,4,232,27,1834,750,8778,2,1
1,0,3.9,38,78,792,200,8778,2,1
1,1,3.5,431,27,1761,800,8778,2,1
1,1,4.2,2115,27,2262,800,8778,2,1
1,0,3.4,30,78,1247,200,8778,2,1
1,0,4.2,150,27,1761,800,2895,2,1
1,0,3.3,12,78,812,200,8778,2,1
1,0,3.8,155,27,2489,450,8778,2,1
1,0,3.7,33,78,1215,200,8778,2,1
1,1,4.1,666,28,65,1000,8778,2,1
1,0,3.700448818,0,78,1301,200,7124,2,1
1,0,3.9,240,19,557,700,8778,2,1
1,0,3.8,918,22,743,800,8778,2,1
1,0,4,465,27,2489,600,4761,2,1
1,1,4.1,970,69,1995,1500,8778,2,1
1,0,3.3,128,78,1834,300,8778,2,1
1,0,3.6,241,78,1834,300,8778,2,1
1,0,3.4,22,78,2381,200,8778,2,1
1,0,4.3,734,78,2489,200,5501,2,1
1,0,3.8,130,78,1802,400,8778,2,1
1,0,4.2,261,19,630,700,8778,2,1
1,0,4,191,78,2490,300,207,2,1
1,0,4.1,364,27,2429,550,221,2,1
1,0,3.8,133,78,1661,300,8778,2,1
1,0,3.9,888,27,2169,750,4751,2,1
1,0,3.1,13,19,615,400,8778,2,1
1,0,3.9,750,27,1951,500,5838,2,1
1,1,4.2,164,19,615,500,8778,2,1
1,0,3.2,6,39,2591,200,6573,2,1
1,0,3.8,527,27,1761,500,8778,2,1
0,0,4.3,345,40,1449,400,8778,3,1
0,0,4.4,356,88,1686,150,8778,3,1
1,0,3.7,17,40,1159,400,6944,3,1
1,0,3.9,38,40,1442,150,3151,3,1
0,0,3.7,78,3,254,150,8778,3,1
0,0,3.8,60,40,254,400,8778,3,1
1,0,4,115,88,1699,400,7315,3,1
0,0,3.8,39,0,263,300,8778,3,1
1,0,3.9,116,40,1452,400,4584,3,1
1,0,3.8,918,22,743,800,8778,3,1
0,0,3.7,46,90,1699,400,8778,3,1
1,0,3.9,41,40,1153,300,8778,3,1
1,0,3.8,144,19,817,700,8778,3,1
0,0,3.8,28,16,1535,150,8778,3,1
1,0,4.3,860,40,1178,500,8778,3,1
0,0,3.5,14,88,1699,200,8778,3,1
0,0,4,66,0,263,300,8778,3,1
1,0,3.2,8,88,1699,100,705,3,1
1,0,3.7,54,16,1164,400,8778,3,1
0,0,3.5,7,40,1153,500,8778,3,1
0,0,3.2,9,40,1442,300,8778,3,1
0,0,3.6,42,17,360,300,8778,3,1
0,0,3.8,64,78,1222,250,8778,3,1
1,0,3.6,14,0,263,350,7842,3,1
0,0,3.8,45,92,254,400,8778,3,1
0,0,3.2,11,19,578,600,8778,3,1
0,0,3.5,13,0,263,300,8778,3,1
0,0,3.4,7,40,1449,150,8778,3,1
0,0,3.4,8,0,263,400,8778,3,1
0,0,3.700448818,0,40,1686,150,8778,3,1
0,0,3.700448818,0,0,254,300,8778,3,1
0,0,2.9,25,40,1449,200,8778,3,1
0,0,3.2,17,40,1178,150,8778,3,1
0,0,3.700448818,0,39,263,500,8778,3,1
0,0,3.700448818,0,88,1686,300,8778,3,1
0,0,3.700448818,0,38,1153,200,8778,3,1
1,0,3.9,35,39,263,500,2793,3,1
1,0,3.9,70,40,1277,400,8778,3,1
0,0,4,98,90,1702,400,8778,3,1
0,0,3.7,25,40,1449,250,8778,3,1
1,0,4,219,19,712,600,8390,3,1
1,0,4,73,0,285,300,5268,3,1
0,0,3.6,16,6,297,150,8778,3,1
0,0,3.6,8,0,263,250,8778,3,1
1,0,3.8,15,0,254,400,8778,3,1
0,0,3.6,46,90,1699,200,8778,3,1
0,0,3.700448818,0,0,263,300,8778,3,1
1,0,3.3,13,47,1185,300,7451,3,1
1,0,3.3,9,40,1153,250,994,3,1
1,0,4,43,40,1178,250,1289,3,1
1,0,2.7,97,27,2489,400,8778,3,1
0,0,3.700448818,0,40,1442,200,8778,3,1
1,0,3.7,22,88,1689,250,5839,3,1
0,0,3.5,15,6,254,400,8778,3,1
0,0,3.700448818,0,91,1153,350,8778,3,1
1,0,3.6,27,40,1215,250,4977,3,1
1,0,3.9,888,27,2169,750,4750,4,1
1,1,4,349,27,2339,1200,1990,4,1
1,0,4.2,287,78,1761,350,8778,4,1
1,1,4.6,2556,29,2246,600,8778,4,1
1,1,4.2,354,27,218,800,1066,4,1
1,1,4.1,775,27,2091,800,8778,4,1
1,1,4.2,2115,27,2262,800,8778,4,1
0,1,3.8,977,60,1346,1300,8778,4,1
0,0,4.1,868,73,1074,1200,8778,4,1
1,0,4,324,19,719,700,7735,4,1
1,0,4.1,787,27,922,800,8778,4,1
1,0,4.2,504,19,744,550,1545,4,1
1,0,4.1,402,19,557,500,5941,4,1
1,1,4.2,150,19,719,600,2427,4,1
1,1,4.2,164,19,615,500,3559,4,1
0,0,4.2,244,27,1507,800,8778,4,1
1,0,4,771,27,2474,450,7872,4,1
1,0,4.2,1647,27,956,600,8778,4,1
0,1,4,808,27,1834,850,8778,4,1
0,0,4,424,19,622,450,8778,4,1
1,0,3.9,135,27,1872,800,6351,4,1
0,0,3.9,28,65,2381,300,8778,4,1
1,0,3.8,918,22,743,800,8778,4,1
1,0,3.8,90,19,557,650,8778,4,1
1,0,3.9,519,27,871,900,8778,4,1
1,0,3.6,105,27,2629,700,8778,4,1
0,0,3.7,43,10,1834,700,8778,4,1
0,0,3.7,46,90,1699,400,8778,4,1
1,0,3.9,133,19,692,800,2250,4,1
1,0,3.8,144,19,817,700,8778,4,1
